Francouzská 75, Praha 2
Riegrovy sady, Praha 2
Na žertvách 2204, Praha 8
Belohorská 672, Praha 6
Štítného 408, Praha 3
Mendelova 554, Praha 4
Národní  116, Praha 1
Štepánská 620, Praha 1
Nuselská 792, Praha 4
Donská 257, Praha 10
Nám. Mezi zahrádkami 1824, Praha 10
Jatecní 540, Praha 7
Václavské n.793, Praha 1
Mánesova 1645, Praha 2
U Brehu 473, Praha 10
Retezová 244, Praha 1
Legerova 1830, Praha 2
Michelská 711, Praha 4
Tylovo n. 668, Praha 2
Chodská 1351, Praha 2
Jihlavská, Praha 4
Jungmannovo n. 751, Praha 1
Na dolinách 632, Praha 4
Seifertova 447, Praha 3
Na hrázi 187, Praha 8
Skorepka 527, Praha 1
Nitranská 1339, Praha 3
Jindricha Plachty 887, Praha 5
Preslova 553, Praha 5
Riegrovy sady, Praha 2
Pštrossova 200, Praha 1
Radhoštská 2004, Praha 3
Belehradská 142, Praha 2
Vacínova 420, Praha 8
Michelská 107, Praha 4
Kostnické nám. 760, Praha 3
Sezimova 389, Praha 4
Otakarova 240, Praha 4
Belohorská 263, Praha 6
Jihlavská 507, Praha 4
Novosibrinská 1342, Praha 9
Hlavní 2459, Praha 4
Gorazdova 331, Praha 2
Vítezná 530, Praha 5
Rytírská 411, Praha 1
Belohorská 255, Praha 6
V.P.Ckalova 935, Praha 6
Kožná 477, Praha 1
Moskevská 363, Praha 10
Sokolovská 341, Praha 8
Sekaninova 203, Praha 2
Sokolovská 349, Praha 8
Nitranská 1355, Praha 3
Michelská 1, Praha 4
Mikuláše z Husi 1908, Praha 4
Hlavní 684, Praha 4
Jireckova 1014, Praha 7
Krásova 552, Praha 3
Vinohradská 1128, Praha 2
Na Hrebenech II 1130, Praha 4
Mahlerovy sady 2699, Praha 3
Štúrova 1308, Praha 4
Novákových 894, Praha 8
Milícova 470, Praha 3
Krakovská 593, Praha 1
Mánesova 1391, Praha 2
Hálkova 1631, Praha 2
