Husitská 106, Praha 3
Jungmannova 736, Praha 1
Náplavní 2011, Praha 2
Michalská 438, Praha 1
Opatovská 1754, Praha 4
Keramická 211, Praha 7
Donská 168, Praha 10
Klamovka 2051, Praha 5
Markétská 1, Praha 6
5.května 1125, Praha 4
Sokolovská 1260, Praha 8
Podbělohorská 2185, Praha 5
Masarykovo nábřeží 250, Praha 1
Žitná 1765, Praha 2
Žitná 1574, Praha 1
Újezd 422, Praha 1
Bozděchova 2246, Praha 5
Klapkova 172, Praha 8
Pod Pekárnami 162, Praha 9
Řeznická 1891, Praha 1
V kolkovně 910, Praha 1
Budějovická 1518, Praha 4
Hodkovská 1210, Praha 9
Ovocný trh 579, Praha 1
Nuselská 320, Praha 4
Anenská 221, Praha 1
Bartolomějská 291, Praha 1
Korunní 1113, Praha 10
V dolině 1160, Praha 10
Jiřičková 3269, Praha 10
Kozí 918, Praha 1
Lidická 796, Praha 5
Náprstkova 272, Praha 1
Kostečná 925, Praha 1
Krocínova 316, Praha 1
Branická 22, Praha 4
Seifertova 617, Praha 3
Pod Stárkou 36, Praha 4
Hybernská 1271, Praha 1
Šmeralova 130, Praha 7
Opatovická 1901, Praha 1
Stroupežnického 590, Praha 5
Na strži 1683, Praha 4
Milíčova 413, Praha 3
Seifertova 303, Praha 3
Široká 25, Praha 1
Lublaňská 647, Praha 2
U Santošky 1110, Praha 5
Legerova 1820, Praha 2
Jeronýmova 577, Praha 3
Boršov 280, Praha 1
Slezská 981, Praha 3
Dvořákovo nábř., Praha 1
nám. 14.října 2173, Praha 5
Štěpánská 622, Praha 1
Bořivojova 1068, Praha 3
Újezd 402, Praha 1
Nádražní 61, Praha 5
Nuselská 159, Praha 4
Rejskova 982, Praha 2
Krátkého 143, Praha 9
Vocelova 477, Praha 2
Malostranské nám. 35, Praha 1
Malostranské nám. 35, Praha 1
Templová 649, Praha 1
Spálená 285, Praha 2
Belgická 633, Praha 2
Žitná 1667, Praha 1
Jaromírova 495, Praha 2
Husitská 114, Praha 3
Sokolovská 374, Praha 8
Bělehradská 448, Praha 2
Bruselská 298, Praha 2
Hálkova 1631, Praha 2
Lublaňská 1001, Praha 2
Kožná 488, Praha 1
Riegrovy sady, Praha 2
K Žižkovu , Praha 9
Podolské nábřeží 81, Praha 4
Na Úlehli 1274, Praha 4
Roháčova 154, Praha 3
Kodaňská 572, Praha 10
Řetězová 224, Praha 1
Politických vězňů 929, Praha 1
Tržiště 266, Praha 1
Voršilská 142, Praha 1
Na Můstku 380, Praha 1
Mezibranská 1450, Praha 1
Jagellonská 2426, Praha 3
Radnické schody 172, Praha 1
Bělehradská 1115, Praha 2
V Jámě 633, Praha 1
Lublaňská 185, Praha 2
Na Farkáně III 194, Praha 5
Pelhřimovská 1021, Praha 4
Máchova 56, Praha 2
Vinohradská 1612, Praha 3
Na květnici 700, Praha 4
Vlastislavova 96, Praha 4
Bělohorská 262, Praha 6
Fr.Křížka 28, Praha 7
Michelská 812, Praha 4
nádraží Braník, Praha 4
Na vrstvách 224, Praha 4
U Harfy 229, Praha 9
Jagellonská 1645, Praha 3
Sokolovská 14, Praha 9
U plynárny 863, Praha 10
Žitná 584, Praha 1
Gorazdova 1983, Praha 2
Na Křivce 1080, Praha 10
Starochodovská 5, Praha 4
Oldřichova 247, Praha 2
Kamenická 607, Praha 7
Podolská 90, Praha 4
Šumavská 991, Praha 2
Nuselská 1423, Praha 4
Přemyslovská 1660, Praha 3
Zelená louka 451, Praha 4
Puškinovo nám. 690, Praha 6
Na Václavce 1079, Praha 5
Na Valentince 494, Praha 5
Cimburkova 474, Praha 3
Kounická 583, Praha 10
Za zelenou liškou 961, Praha 4
Zoubkova 1231, Praha 5
Legerova 342, Praha 2
Bořivojova 785, Praha 3
Mikuláše z Husi 341, Praha 4
Václavkova 116, Praha 6
Štěpánská 539, Praha 2
Národní 339, Praha 1
Souvratní 987, Praha 4
Ruská 568, Praha 10
Dlouhá 730, Praha 1
Lidická 451, Praha 5
Londýnská 309, Praha 2
Sokolovská , Praha 9
Francouzská 55, Praha 10
Nuselská 1420, Praha 4
Hostivařská 576, Praha 10
Nuselská 1422, Praha 4
Ruská 614, Praha 10
Novákových 893, Praha 8
Místecká 366, Praha 9
Táboritská 17, Praha 3
Pujmanové 12108, Praha 4
Vítězná 619, Praha 5
Oldřichova 247, Praha 2
Konviktská 263, Praha 1
Na Ostrůvku 3452, Praha 4
Lipanská 1059, Praha 3
Janovského 1118, Praha 7
Mánesova 922, Praha 2
Národní 981, Praha 1
Anglická 388, Praha 2
Budečská 933, Praha 2
Na Bělidle 436, Praha 5
Štěpánská 650, Praha 1
U Nikolajky 941, Praha 5
Jugoslávská 659, Praha 2
Dělnická 775, Praha 7
Na Rybníčku 535, Praha 2
Křižíkova 272, Praha 8
Ostrovského 33, Praha 5
Navrátilova 667, Praha 1
Budějovická 1123, Praha 4
Černokostelecká 919, Praha 10
Opatovská 874, Praha 4
Husitská 344, Praha 3
Bělehradská, Praha 4
Jagellonská 1240, Praha 3
Bulovka 368, Praha 8
Bořivojova 694, Praha 3
Na Vítězné pláni 1719, Praha 4
Čechova 310, Praha 7
Hellichova 455, Praha 1
Na Úlehli 1274, Praha 4
Zborovská 526, Praha 5
Mánesova 1091, Praha 2
Seifertova 570, Praha 3
Libušina 32, Praha 2
Poděbradská 227, Praha 9
Sudoměřská 1707, Praha 3
Michelská 721, Praha 4
Tilschové 1082, Praha 4
Koubkova 1726, Praha 2
Alšovo nábř., Praha 1
Italská 1203, Praha 2
Hlavní 2459, Praha 4
Resslova 1775, Praha 2
Vinohradská 1666, Praha 3
Hlavní nádraží, Praha 1
Sokolovská 327, Praha 8
Na Bělidle 527, Praha 5
Nezamyslova 274, Praha 2
Výstaviště 415, Praha 7
Jažlovická 1499, Praha 4
Betlémská 286, Praha 1
Michalská 432, Praha 1
Komunardů 1001, Praha 7
Popovická 924, Praha 10
Břevnovská 1088, Praha 6
Bělehradská 234, Praha 2
Kovanecká, Praha 9
nám.Hrdinů 1301, Praha 4
Rybná 683, Praha 1
Bělehradská 232, Praha 2
Jindřišská 940, Praha 1
Milíčova 471, Praha 3
Opletalova 916, Praha 1
Francouzská 75, Praha 2
Riegrovy sady, Praha 2
Na žertvách 2204, Praha 8
Bělohorská 672, Praha 6
Štítného 408, Praha 3
Mendelova 554, Praha 4
Národní  116, Praha 1
Štěpánská 620, Praha 1
Nuselská 792, Praha 4
Donská 257, Praha 10
Nám. Mezi zahrádkami 1824, Praha 10
Jateční 540, Praha 7
Václavské n.793, Praha 1
Mánesova 1645, Praha 2
U Břehu 473, Praha 10
Řetězová 244, Praha 1
Legerova 1830, Praha 2
Michelská 711, Praha 4
Tylovo n. 668, Praha 2
Chodská 1351, Praha 2
Jihlavská, Praha 4
Jungmannovo n. 751, Praha 1
Na dolinách 632, Praha 4
Seifertova 447, Praha 3
Na hrázi 187, Praha 8
Skořepka 527, Praha 1
Nitranská 1339, Praha 3
Jindřicha Plachty 887, Praha 5
Preslova 553, Praha 5
Riegrovy sady, Praha 2
Pštrossova 200, Praha 1
Radhošťská 2004, Praha 3
Bělehradská 142, Praha 2
Vacínova 420, Praha 8
Michelská 107, Praha 4
Kostnické nám. 760, Praha 3
Sezimova 389, Praha 4
Otakarova 240, Praha 4
Bělohorská 263, Praha 6
Jihlavská 507, Praha 4
Novosibřinská 1342, Praha 9
Hlavní 2459, Praha 4
Gorazdova 331, Praha 2
Vítězná 530, Praha 5
Rytířská 411, Praha 1
Bělohorská 255, Praha 6
V.P.Čkalova 935, Praha 6
Kožná 477, Praha 1
Moskevská 363, Praha 10
Sokolovská 341, Praha 8
Sekaninova 203, Praha 2
Sokolovská 349, Praha 8
Nitranská 1355, Praha 3
Michelská 1, Praha 4
Mikuláše z Husi 1908, Praha 4
Hlavní 684, Praha 4
Jirečkova 1014, Praha 7
Krásova 552, Praha 3
Vinohradská 1128, Praha 2
Na Hřebenech II 1130, Praha 4
Mahlerovy sady 2699, Praha 3
Štúrova 1308, Praha 4
Novákových 894, Praha 8
Milíčova 470, Praha 3
Krakovská 593, Praha 1
Mánesova 1391, Praha 2
Hálkova 1631, Praha 2
Veleslavínova 59, Praha 1
Karoliny Světlé 299, Praha 1
Štěpánská 615, Praha 1
Senovážná 1394, Praha 1
Valentinská 24, Praha 1
Všehrdova 547, Praha 1
Podolská 158, Praha 4
Keramická 287, Praha 7
Vlastislavova 603, Praha 4
Staropramenná 724, Praha 5
Palackého 715, Praha 1
Jungmannova 742, Praha 1
Táborská 389, Praha 4
Záběhlická 155, Praha 10
Třebízského, Praha 2
Slezská 2191, Praha 3
Betlémské nám. 251, Praha 1
Bělohorská 241, Praha 6
Na Bělidle 310, Praha 5
Krymská 308, Praha 10
Orelská 540, Praha 10
Lublaňská 676, Praha 2
U svobodárny 1511, Praha 9
U Svobodárny 1511, Praha 9
Spálená 107, Praha 1
Biskupská 1139, Praha 1
Adamovská 803, Praha 4
U Břehu 1372, Praha 10
Jižní IX  2960, Praha 4
Myslíkova 258, Praha 2
Preslova 353, Praha 5
Kodaňská 623, Praha 10
U Strže 150, Praha 4
Myslíkova 282, Praha 2
Loretánské náměstí 107, Praha 1
Poděbradská 225, Praha 9
Kamzíková 543, Praha 1
Sokolovská 41, Praha 8
Kozí 858, Praha 1
Školská 38, Praha 1
Karlovo n. 551, Praha 2
U staré pošty 247, Praha 4
V Tůních 1636, Praha 2
Husinecká 829, Praha 3
Levá 391, Praha 4
Radlická 806, Praha 5
Záhřebská 468, Praha 2
Lupáčova 805, Praha 3
Chelčického 1153, Praha 3
Uhelný trh 415, Praha 1
Nerudova 233, Praha 1
Vršovická 800, Praha 10
Malostranské n. 266, Praha 1
Maislova 62, Praha 1
Děkanská 173, Praha 4
Hálkova 1631, Praha 2
Libušská 393, Praha 4
Londýnská 221, Praha 2
Soběslavská 2250, Praha 3
Koželužská 589, Praha 8
Týnská 627, Praha 1
Sokolovská 274, Praha 8
Konviktská 1013, Praha 1
